Longitud,Latitud,fecha,horario,profundidad,profundidad_m,cuadrante,subcuadro,Thalassia testudinum,Laurencia poitei,Syringodium filiforme,Acetabularia crenulata,Halimeda incrassata,Halodule beaudettei,Penicillus capitatus,T_testudinum,L_poitei,S_filiforme,A_crenulata,H_incrassata,H_beaudettei,P_capitatus
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,1,0,10,83,5,2,0,0,0,2,5,1,1,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,2,0,0,90,10,0,0,0,0,0,5,2,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,3,0,5,50,43,2,0,0,0,1,3,3,1,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,4,0,60,38,0,2,0,0,0,4,3,0,1,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,5,0,0,80,20,0,0,0,0,0,5,2,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,6,0,10,73,2,10,0,0,0,2,4,1,2,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,7,5,20,70,0,5,0,0,1,2,4,0,1,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,8,0,60,40,0,0,0,0,0,4,3,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,9,0,80,15,0,0,0,0,0,5,2,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,10,0,60,20,0,5,0,0,0,4,2,0,1,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,11,0,10,67,5,0,0,0,0,2,4,1,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,12,0,60,40,0,0,0,0,0,4,3,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,13,10,40,40,0,0,0,0,2,3,3,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,14,0,0,90,10,0,0,0,0,0,5,2,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,15,10,30,40,0,0,0,0,2,3,3,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,16,0,50,47,3,0,0,0,0,3,3,1,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,1,60,20,0,0,20,0,0,4,2,0,0,2,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,2,10,75,15,0,0,0,0,2,4,2,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,3,0,5,50,43,2,0,0,0,1,3,3,1,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,4,0,0,60,38,2,0,0,0,0,4,3,1,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,5,0,0,80,20,0,0,0,0,0,5,2,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,6,0,20,70,0,10,0,0,0,2,4,0,2,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,7,5,10,80,0,0,0,0,1,2,5,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,8,0,25,75,0,0,0,0,0,2,4,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,9,40,30,0,0,20,0,0,3,3,0,0,2,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,10,25,40,0,0,35,0,0,2,3,0,0,3,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,11,60,32,3,0,0,0,0,4,3,1,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,12,60,25,0,0,15,0,0,4,2,0,0,2,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,13,20,65,0,0,15,0,0,2,4,0,0,2,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,14,25,40,0,0,35,0,0,2,3,0,0,3,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,15,10,90,0,0,0,0,0,2,5,0,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,16,10,60,10,0,0,0,0,2,4,2,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,1,0,20,75,0,5,0,0,0,2,4,0,1,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,2,0,10,90,0,0,0,0,0,2,5,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,3,0,45,50,5,0,0,0,0,3,3,1,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,4,0,25,90,5,0,0,0,0,2,5,1,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,5,0,60,40,0,0,0,0,0,4,3,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,6,0,40,50,0,10,0,0,0,3,3,0,2,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,7,0,40,50,5,5,0,0,0,3,3,1,1,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,8,0,30,60,2,0,0,0,0,3,4,1,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,9,0,5,90,5,0,0,0,0,1,5,1,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,10,0,5,95,0,0,0,0,0,1,5,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,11,0,30,70,0,0,0,0,0,3,4,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,12,0,40,60,0,0,0,0,0,3,4,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,13,0,30,70,0,0,0,0,0,3,4,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,14,0,40,60,0,0,0,0,0,3,4,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,15,0,10,80,0,10,0,0,0,2,5,0,2,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,16,0,20,70,0,10,0,0,0,2,4,0,2,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,4,1,0,25,65,0,10,0,0,0,2,4,0,2,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,4,2,0,10,10,0,20,0,0,0,2,2,0,2,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,4,3,0,0,10,0,40,0,0,0,0,2,0,3,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,4,4,0,25,20,0,10,0,0,0,2,2,0,2,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,4,5,0,10,40,0,20,0,0,0,2,3,0,2,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,4,6,0,20,60,10,10,0,0,0,2,4,2,2,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,4,7,0,25,75,0,0,0,0,0,2,4,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,4,8,0,20,80,0,0,0,0,0,2,5,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,4,9,0,0,100,0,0,0,0,0,0,5,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,4,10,0,10,90,0,0,0,0,0,2,5,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,4,11,0,5,95,0,0,0,0,0,1,5,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,4,12,0,20,70,0,10,0,0,0,2,4,0,2,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,4,13,0,8,90,0,2,0,0,0,1,5,0,1,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,4,14,0,10,90,0,0,0,0,0,2,5,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,4,15,2,18,80,0,0,0,0,1,2,5,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,4,16,5,10,85,0,0,0,0,1,2,5,0,0,0,0
21.39027,88.90837,13/05/2025,PM,profundo,1,1,1,0,0,0,0,50,50,0,0,0,0,0,3,3,0
21.39027,88.90837,13/05/2025,PM,profundo,1,1,2,0,30,0,0,30,40,0,0,3,0,0,3,3,0
21.39027,88.90837,13/05/2025,PM,profundo,1,1,3,0,50,0,0,25,25,0,0,3,0,0,2,2,0
21.39027,88.90837,13/05/2025,PM,profundo,1,1,4,0,40,0,0,50,10,0,0,3,0,0,3,2,0
21.39027,88.90837,13/05/2025,PM,profundo,1,1,5,0,40,0,0,20,40,0,0,3,0,0,2,3,0
21.39027,88.90837,13/05/2025,PM,profundo,1,1,6,0,20,0,0,30,50,0,0,2,0,0,3,3,0
21.39027,88.90837,13/05/2025,PM,profundo,1,1,7,40,0,0,0,20,40,0,3,0,0,0,2,3,0
21.39027,88.90837,13/05/2025,PM,profundo,1,1,8,0,0,0,0,10,90,0,0,0,0,0,2,5,0
21.39027,88.90837,13/05/2025,PM,profundo,1,1,9,0,10,65,0,20,5,0,0,2,4,0,2,1,0
21.39027,88.90837,13/05/2025,PM,profundo,1,1,10,0,5,0,0,0,50,0,0,1,0,0,0,3,0
21.39027,88.90837,13/05/2025,PM,profundo,1,1,11,0,3,0,0,0,80,0,0,1,0,0,0,5,0
21.39027,88.90837,13/05/2025,PM,profundo,1,1,12,25,10,65,0,0,0,0,2,2,4,0,0,0,0
21.39027,88.90837,13/05/2025,PM,profundo,1,1,13,0,10,75,0,5,0,0,0,2,4,0,1,0,0
21.39027,88.90837,13/05/2025,PM,profundo,1,1,14,0,0,70,0,10,0,0,0,0,4,0,2,0,0
21.39027,88.90837,13/05/2025,PM,profundo,1,1,15,0,20,50,0,0,0,0,0,2,3,0,0,0,0
21.39027,88.90837,13/05/2025,PM,profundo,1,1,16,20,0,70,0,10,0,0,2,0,4,0,2,0,0
21.39027,88.90837,13/05/2025,PM,profundo,1,2,1,0,5,0,0,15,80,0,0,1,0,0,2,5,0
21.39027,88.90837,13/05/2025,PM,profundo,1,2,2,0,0,0,0,15,85,0,0,0,0,0,2,5,0
21.39027,88.90837,13/05/2025,PM,profundo,1,2,3,0,0,0,0,10,90,0,0,0,0,0,2,5,0
21.39027,88.90837,13/05/2025,PM,profundo,1,2,4,0,0,0,0,10,90,0,0,0,0,0,2,5,0
21.39027,88.90837,13/05/2025,PM,profundo,1,2,5,0,10,0,0,10,80,0,0,2,0,0,2,5,0
21.39027,88.90837,13/05/2025,PM,profundo,1,2,6,0,0,0,0,0,100,0,0,0,0,0,0,5,0
21.39027,88.90837,13/05/2025,PM,profundo,1,2,7,0,0,0,0,5,95,0,0,0,0,0,1,5,0
21.39027,88.90837,13/05/2025,PM,profundo,1,2,8,0,20,0,0,10,70,0,0,2,0,0,2,4,0
21.39027,88.90837,13/05/2025,PM,profundo,1,2,9,0,30,10,0,0,60,0,0,3,2,0,0,4,0
21.39027,88.90837,13/05/2025,PM,profundo,1,2,10,0,0,40,0,20,40,0,0,0,3,0,2,3,0
21.39027,88.90837,13/05/2025,PM,profundo,1,2,11,0,0,0,0,15,85,0,0,0,0,0,2,5,0
21.39027,88.90837,13/05/2025,PM,profundo,1,2,12,0,20,0,0,5,60,0,0,2,0,0,1,4,0
21.39027,88.90837,13/05/2025,PM,profundo,1,2,13,0,10,0,0,5,85,0,0,2,0,0,1,5,0
21.39027,88.90837,13/05/2025,PM,profundo,1,2,14,0,20,0,0,5,20,0,0,2,0,0,1,2,0
21.39027,88.90837,13/05/2025,PM,profundo,1,2,15,0,10,0,0,0,75,0,0,2,0,0,0,4,0
21.39027,88.90837,13/05/2025,PM,profundo,1,2,16,0,20,0,0,0,60,0,0,2,0,0,0,4,0
,,15/05/2025,AM,profundo,1.6,1,1,0,10,0,0,0,90,0,0,2,0,0,0,5,0
,,15/05/2025,AM,profundo,1.6,1,2,0,5,0,0,20,57,0,0,1,0,0,2,4,0
,,15/05/2025,AM,profundo,1.6,1,3,0,5,0,0,20,75,0,0,1,0,0,2,4,0
,,15/05/2025,AM,profundo,1.6,1,4,0,5,0,0,20,75,0,0,1,0,0,2,4,0
,,15/05/2025,AM,profundo,1.6,1,5,0,12,0,0,10,55,0,0,2,0,0,2,4,0
,,15/05/2025,AM,profundo,1.6,1,6,0,20,0,0,0,25,0,0,2,0,0,0,2,0
,,15/05/2025,AM,profundo,1.6,1,7,0,10,0,0,5,33,0,0,2,0,0,1,3,0
,,15/05/2025,AM,profundo,1.6,1,8,0,33,0,0,5,50,0,0,3,0,0,1,3,0
,,15/05/2025,AM,profundo,1.6,1,9,0,10,0,0,5,85,0,0,2,0,0,1,5,0
,,15/05/2025,AM,profundo,1.6,1,10,0,25,0,0,5,70,0,0,2,0,0,1,4,0
,,15/05/2025,AM,profundo,1.6,1,11,0,20,0,0,20,60,0,0,2,0,0,2,4,0
,,15/05/2025,AM,profundo,1.6,1,12,0,33,0,0,5,62,0,0,3,0,0,1,4,0
,,15/05/2025,AM,profundo,1.6,1,13,0,20,0,0,0,50,0,0,2,0,0,0,3,0
,,15/05/2025,AM,profundo,1.6,1,14,0,50,0,0,10,40,0,0,3,0,0,2,3,0
,,15/05/2025,AM,profundo,1.6,1,15,0,30,0,0,20,50,0,0,3,0,0,2,3,0
,,15/05/2025,AM,profundo,1.6,1,16,0,20,0,0,0,77,3,0,2,0,0,0,5,R
,,15/05/2025,AM,profundo,1.6,2,1,0,10,90,0,0,0,0,0,2,5,0,0,0,0
,,15/05/2025,AM,profundo,1.6,2,2,0,5,95,0,0,0,0,0,1,5,0,0,0,0
,,15/05/2025,AM,profundo,1.6,2,3,0,5,90,0,0,0,0,0,1,5,0,0,0,0
,,15/05/2025,AM,profundo,1.6,2,4,0,30,70,0,0,0,0,0,3,4,0,0,0,0
,,15/05/2025,AM,profundo,1.6,2,5,0,10,90,0,0,0,0,0,2,5,0,0,0,0
,,15/05/2025,AM,profundo,1.6,2,6,0,15,80,5,0,0,0,0,2,5,1,0,0,0
,,15/05/2025,AM,profundo,1.6,2,7,0,35,65,0,0,0,0,0,3,4,0,0,0,0
,,15/05/2025,AM,profundo,1.6,2,8,0,25,75,0,0,0,0,0,2,4,0,0,0,0
,,15/05/2025,AM,profundo,1.6,2,9,0,30,65,5,0,0,0,0,3,4,1,0,0,0
,,15/05/2025,AM,profundo,1.6,2,10,0,15,80,5,0,0,0,0,2,5,1,0,0,0
,,15/05/2025,AM,profundo,1.6,2,11,0,10,90,0,0,0,0,0,2,5,0,0,0,0
,,15/05/2025,AM,profundo,1.6,2,12,0,25,75,0,0,0,0,0,2,4,0,0,0,0
,,15/05/2025,AM,profundo,1.6,2,13,0,50,50,0,0,0,0,0,3,3,0,0,0,0
,,15/05/2025,AM,profundo,1.6,2,14,0,10,90,0,0,0,0,0,2,5,0,0,0,0
,,15/05/2025,AM,profundo,1.6,2,15,0,0,95,5,0,0,0,0,0,5,1,0,0,0
,,15/05/2025,AM,profundo,1.6,2,16,0,20,80,0,0,0,0,0,2,5,0,0,0,0
,,15/05/2025,AM,profundo,1.7,3,1,0,35,50,0,15,0,0,0,3,3,0,2,0,0
,,15/05/2025,AM,profundo,1.7,3,2,0,60,30,5,5,0,0,0,4,3,1,1,0,0
,,15/05/2025,AM,profundo,1.7,3,3,0,10,80,0,10,0,0,0,2,5,0,2,0,0
,,15/05/2025,AM,profundo,1.7,3,4,0,30,55,0,15,0,0,0,3,4,0,2,0,0
,,15/05/2025,AM,profundo,1.7,3,5,0,20,70,0,10,0,0,0,2,4,0,2,0,0
,,15/05/2025,AM,profundo,1.7,3,6,0,15,30,0,5,0,0,0,2,3,0,1,0,0
,,15/05/2025,AM,profundo,1.7,3,7,0,10,60,0,0,0,0,0,2,4,0,0,0,0
,,15/05/2025,AM,profundo,1.7,3,8,0,5,80,0,15,0,0,0,1,5,0,2,0,0
,,15/05/2025,AM,profundo,1.7,3,9,0,0,80,0,20,0,0,0,0,5,0,2,0,0
,,15/05/2025,AM,profundo,1.7,3,10,0,25,65,0,0,0,0,0,2,4,0,0,0,0
,,15/05/2025,AM,profundo,1.7,3,11,0,20,60,0,0,0,0,0,2,4,0,0,0,0
,,15/05/2025,AM,profundo,1.7,3,12,0,25,75,0,0,0,0,0,2,4,0,0,0,0
,,15/05/2025,AM,profundo,1.7,3,13,0,20,80,0,0,0,0,0,2,5,0,0,0,0
,,15/05/2025,AM,profundo,1.7,3,14,0,25,60,5,10,0,0,0,2,4,1,2,0,0
,,15/05/2025,AM,profundo,1.7,3,15,0,25,60,10,5,0,0,0,2,4,2,1,0,0
,,15/05/2025,AM,profundo,1.7,3,16,0,25,70,5,0,0,0,0,2,4,1,0,0,0
,,15/05/2025,AM,profundo,1.5,4,1,0,10,0,0,0,80,0,0,2,0,0,0,5,0
,,15/05/2025,AM,profundo,1.5,4,2,0,15,0,0,5,60,0,0,2,0,0,1,4,0
,,15/05/2025,AM,profundo,1.5,4,3,5,15,0,0,0,80,0,1,2,0,0,0,5,0
,,15/05/2025,AM,profundo,1.5,4,4,15,20,0,0,5,50,0,2,2,0,0,1,3,0
,,15/05/2025,AM,profundo,1.5,4,5,15,25,0,0,10,50,0,2,2,0,0,2,3,0
,,15/05/2025,AM,profundo,1.5,4,6,25,0,0,0,5,50,0,2,0,0,0,1,3,0
,,15/05/2025,AM,profundo,1.5,4,7,10,0,0,0,25,50,0,2,0,0,0,2,3,0
,,15/05/2025,AM,profundo,1.5,4,8,10,5,0,0,10,75,0,2,1,0,0,2,4,0
,,15/05/2025,AM,profundo,1.5,4,9,0,20,0,0,5,65,0,0,2,0,0,1,4,0
,,15/05/2025,AM,profundo,1.5,4,10,5,5,0,0,10,60,0,1,1,0,0,2,4,0
,,15/05/2025,AM,profundo,1.5,4,11,10,25,0,0,15,50,0,2,2,0,0,2,3,0
,,15/05/2025,AM,profundo,1.5,4,12,10,20,0,0,8,60,0,2,2,0,0,1,4,0
,,15/05/2025,AM,profundo,1.5,4,13,5,40,0,0,10,55,0,1,3,0,0,2,4,0
,,15/05/2025,AM,profundo,1.5,4,14,15,0,0,0,20,65,0,2,0,0,0,2,4,0
,,15/05/2025,AM,profundo,1.5,4,15,10,15,0,0,10,65,0,2,2,0,0,2,4,0
,,15/05/2025,AM,profundo,1.5,4,16,20,0,0,0,20,60,0,2,0,0,0,2,4,0
,,15/05/2025,PM,somero,0.7,1,1,0,90,0,0,0,10,0,0,5,0,0,0,2,0
,,15/05/2025,PM,somero,0.7,1,2,0,80,0,0,0,20,0,0,5,0,0,0,2,0
,,15/05/2025,PM,somero,0.7,1,3,0,30,0,0,10,60,0,0,3,0,0,2,4,0
,,15/05/2025,PM,somero,0.7,1,4,0,75,0,0,10,15,0,0,4,0,0,2,2,0
,,15/05/2025,PM,somero,0.7,1,5,0,60,0,0,20,20,0,0,4,0,0,2,2,0
,,15/05/2025,PM,somero,0.7,1,6,0,40,0,0,25,35,0,0,3,0,0,2,3,0
,,15/05/2025,PM,somero,0.7,1,7,0,70,0,0,15,15,0,0,4,0,0,2,2,0
,,15/05/2025,PM,somero,0.7,1,8,0,60,0,0,20,20,0,0,4,0,0,2,2,0
,,15/05/2025,PM,somero,0.7,1,9,0,70,0,0,25,5,0,0,4,0,0,2,1,0
,,15/05/2025,PM,somero,0.7,1,10,0,80,0,0,10,10,0,0,5,0,0,2,2,0
,,15/05/2025,PM,somero,0.7,1,11,0,40,0,0,25,35,0,0,3,0,0,2,3,0
,,15/05/2025,PM,somero,0.7,1,12,0,50,0,0,40,10,0,0,3,0,0,3,2,0
,,15/05/2025,PM,somero,0.7,1,13,0,60,0,0,15,25,0,0,4,0,0,2,2,0
,,15/05/2025,PM,somero,0.7,1,14,0,80,0,0,10,10,0,0,5,0,0,2,2,0
,,15/05/2025,PM,somero,0.7,1,15,0,80,0,0,10,10,0,0,5,0,0,2,2,0
,,15/05/2025,PM,somero,0.7,1,16,0,50,0,0,5,45,0,0,3,0,0,1,3,0
,,15/05/2025,PM,somero,0.7,2,1,5,0,0,0,10,85,0,1,0,0,0,2,5,0
,,15/05/2025,PM,somero,0.7,2,2,10,15,0,0,25,20,0,2,2,0,0,2,2,0
,,15/05/2025,PM,somero,0.7,2,3,0,40,0,0,30,30,0,0,3,0,0,3,3,0
,,15/05/2025,PM,somero,0.7,2,4,0,10,0,0,40,50,0,0,2,0,0,3,3,0
,,15/05/2025,PM,somero,0.7,2,5,0,0,0,0,50,40,0,0,0,0,0,3,3,0
,,15/05/2025,PM,somero,0.7,2,6,10,0,0,0,40,50,0,2,0,0,0,3,3,0
,,15/05/2025,PM,somero,0.7,2,7,0,5,0,0,50,45,0,0,1,0,0,3,3,0
,,15/05/2025,PM,somero,0.7,2,8,10,40,0,0,10,40,0,2,3,0,0,2,3,0
,,15/05/2025,PM,somero,0.7,2,9,0,50,0,0,40,10,0,0,3,0,0,3,2,0
,,15/05/2025,PM,somero,0.7,2,10,5,30,0,0,55,10,0,1,3,0,0,4,2,0
,,15/05/2025,PM,somero,0.7,2,11,0,40,0,0,25,10,0,0,3,0,0,2,2,0
,,15/05/2025,PM,somero,0.7,2,12,0,60,0,0,20,34,0,0,4,0,0,2,3,0
,,15/05/2025,PM,somero,0.7,2,13,0,45,0,0,10,45,0,0,3,0,0,2,3,0
,,15/05/2025,PM,somero,0.7,2,14,0,40,0,5,25,10,0,0,3,0,1,2,2,0
,,15/05/2025,PM,somero,0.7,2,15,0,10,0,10,0,80,0,0,2,0,2,0,5,0
,,15/05/2025,PM,somero,0.7,2,16,25,10,0,0,5,45,0,2,2,0,0,1,3,0
,,15/05/2025,PM,somero,0.7,3,1,60,0,0,0,5,35,0,4,0,0,0,1,3,0
,,15/05/2025,PM,somero,0.7,3,2,60,0,0,0,5,30,0,4,0,0,0,1,3,0
,,15/05/2025,PM,somero,0.7,3,3,35,40,0,0,5,10,0,3,3,0,0,1,2,0
,,15/05/2025,PM,somero,0.7,3,4,20,20,0,0,10,50,0,2,2,0,0,2,3,0
,,15/05/2025,PM,somero,0.7,3,5,40,50,0,0,5,5,0,3,3,0,0,1,1,0
,,15/05/2025,PM,somero,0.7,3,6,90,10,0,0,0,0,0,5,2,0,0,0,0,0
,,15/05/2025,PM,somero,0.7,3,7,70,20,0,0,10,0,0,4,2,0,0,2,0,0
,,15/05/2025,PM,somero,0.7,3,8,60,0,0,0,10,30,0,4,0,0,0,2,3,0
,,15/05/2025,PM,somero,0.7,3,9,20,25,0,0,5,50,0,2,2,0,0,1,3,0
,,15/05/2025,PM,somero,0.7,3,10,70,20,0,0,10,0,0,4,2,0,0,2,0,0
,,15/05/2025,PM,somero,0.7,3,11,70,25,0,0,5,0,0,4,2,0,0,1,0,0
,,15/05/2025,PM,somero,0.7,3,12,85,10,0,0,5,0,0,5,2,0,0,1,0,0
,,15/05/2025,PM,somero,0.7,3,13,35,20,0,0,5,10,0,3,2,0,0,1,2,0
,,15/05/2025,PM,somero,0.7,3,14,60,20,0,0,10,10,0,4,2,0,0,2,2,0
,,15/05/2025,PM,somero,0.7,3,15,20,50,0,0,15,15,0,2,3,0,0,2,2,0
,,15/05/2025,PM,somero,0.7,3,16,20,50,0,0,10,20,0,2,3,0,0,2,2,0
,,15/05/2025,PM,somero,0.7,4,1,0,0,0,0,10,60,0,0,0,0,0,2,4,0
,,15/05/2025,PM,somero,0.7,4,2,0,0,0,0,20,40,0,0,0,0,0,2,3,0
,,15/05/2025,PM,somero,0.7,4,3,10,0,0,0,20,50,0,2,0,0,0,2,3,0
,,15/05/2025,PM,somero,0.7,4,4,10,0,0,0,20,30,0,2,0,0,0,2,3,0
,,15/05/2025,PM,somero,0.7,4,5,0,0,0,0,20,60,0,0,0,0,0,2,4,0
,,15/05/2025,PM,somero,0.7,4,6,0,0,0,0,50,50,0,0,0,0,0,3,3,0
,,15/05/2025,PM,somero,0.7,4,7,0,0,0,0,60,40,0,0,0,0,0,4,3,0
,,15/05/2025,PM,somero,0.7,4,8,0,0,0,0,10,90,0,0,0,0,0,2,5,0
,,15/05/2025,PM,somero,0.7,4,9,25,0,0,0,10,20,0,2,0,0,0,2,2,0
,,15/05/2025,PM,somero,0.7,4,10,0,20,0,10,70,0,0,0,2,0,2,4,0,0
,,15/05/2025,PM,somero,0.7,4,11,0,20,0,0,50,30,0,0,2,0,0,3,3,0
,,15/05/2025,PM,somero,0.7,4,12,0,30,0,0,30,30,0,0,3,0,0,3,3,0
,,15/05/2025,PM,somero,0.7,4,13,0,10,0,0,20,20,0,0,2,0,0,2,2,0
,,15/05/2025,PM,somero,0.7,4,14,15,20,0,0,15,15,0,2,2,0,0,2,2,0
,,15/05/2025,PM,somero,0.7,4,15,30,50,0,0,10,10,0,3,3,0,0,2,2,0
,,15/05/2025,PM,somero,0.7,4,16,40,30,0,0,0,30,0,3,3,0,0,0,3,0